ALG,TIP,TAM,TAM,RWTR,PRODTR,RWTE,PTE,INT,DTI,DTF,END,EPS,EPST
A2C,MA_newSt,2,32,8284.585451579545,84.16798064771223,10300.999603866734,91.1078565879675,97050,2022-05-27 09:13:03,2022-05-27 15:02:59,/media/leandro/EXTRA/DEV/DRL/Resultados/A2C/MA_1p5BP/2M/32/2022527_9133/A2C_MA_1p5BP_32_2022527_9133,50,50
DDQN,MA_newSt,2,32,10820.059615950668,90.30122457603275,9638.36002212759,82.25986000929382,98550,2022-05-27 13:49:26,2022-05-27 19:40:32,/media/leandro/EXTRA/DEV/DRL/Resultados/DDQN/MA_1p5BP/2M/32/2022527_134926/DDQN_MA_1p5BP_32_2022527_134926,50,50
A2C,MA_newSt,2,32,6183.906241087796,81.25939959056163,9215.228098671016,87.92841210061738,106083,2022-05-30 18:32:22,2022-05-30 23:41:52,/media/leandro/EXTRA/DEV/DRL/Resultados/A2C/MA_1p5BP_newSt/2M/32/2022530_183222/A2C_MA_1p5BP_newSt_32_2022530_183222,50,50
PPO,MA_newSt,2,32,955.0517689340568,39.81113278080026,254.6453357436829,22.85152837910811,45992,2022-05-31 00:09:46,2022-05-31 01:46:18,/media/leandro/EXTRA/DEV/DRL/Resultados/PPO/MA_1p5BP_newS/2M/32/2022531_0946/PPO_MA_1p5BP_newS_32_2022531_0946,50,50
DDQN,MA_newSt,2,32,10039.553752788273,89.82318192480207,6756.4965940283,67.47716336712273,83562,2022-05-31 00:10:17,2022-05-31 04:46:06,/media/leandro/EXTRA/DEV/DRL/Resultados/DDQN/MA_1p5BP_newS/2M/32/2022531_01017/DDQN_MA_1p5BP_newS_32_2022531_01017,50,50
PPO,MA_newSt,2,32,3775.0594169490637,55.6684977459018,4281.297299946952,59.63525866750139,72412,2022-05-31 09:56:55,2022-05-31 13:40:38,/media/leandro/EXTRA/DEV/DRL/Resultados/PPO/MA_1p5BP_newS/2M/32/2022531_95655/PPO_MA_1p5BP_newS_32_2022531_95655,50,50
DDQN,MA_newSt,2,32,9457.123069139905,88.94047431591368,7085.922828972386,66.87800218130096,84690,2022-05-31 09:57:05,2022-05-31 15:13:49,/media/leandro/EXTRA/DEV/DRL/Resultados/DDQN/MA_1p5BP_newS/2M/32/2022531_9575/DDQN_MA_1p5BP_newS_32_2022531_9575,50,50
A2C,MA_newSt,2,32,6579.543456711338,82.4764394000071,9552.060829077267,88.55578295573797,105553,2022-05-31 09:56:44,2022-05-31 16:30:34,/media/leandro/EXTRA/DEV/DRL/Resultados/A2C/MA_1p5BP_newSt/2M/32/2022531_95644/A2C_MA_1p5BP_newSt_32_2022531_95644,50,50
PPO,MA_newSt,2,64,3030.797266370991,58.68813042904804,-106.88065194620017,26.120385152664134,74381,2022-05-31 13:40:38,2022-05-31 17:06:14,/media/leandro/EXTRA/DEV/DRL/Resultados/PPO/MA_1p5BP_newS/2M/64/2022531_134038/PPO_MA_1p5BP_newS_64_2022531_134038,50,50
PPO,MA_newSt,2,128,-743.5664527181336,16.92141289163839,-890.966471125869,12.021777090401116,25050,2022-05-31 17:06:14,2022-05-31 17:26:39,/media/leandro/EXTRA/DEV/DRL/Resultados/PPO/MA_1p5BP_newS/2M/128/2022531_17614/PPO_MA_1p5BP_newS_128_2022531_17614,50,50
