'Teste', 'Agente', 'Tipo','N maq', 'Tam Net','Max Prod', 'Media Prod','Var Prod','Max Rec',  'Media Rec', 'Var Rec','Max Wp1',  'Media Wp1', 'Var Wp1',\'Max Wp2',  'Media Wp2', 'Var Wp2','Var act1', 'Var ac2'
5,A2C,MA,2,32,91.11556243896484,88.46572950754924,61.985894637300206,100.0,5.1239188182270565,5.639657078493882,1.0,0.7304884515404702,0.0001522294330060974,0.9980334639549255,0.9179072543680667,2.4589982709713884e-05,0.0,0.0
10,A2C,MA,2,32,91.17337799072266,88.51054054376544,61.96013503594545,100.0,5.116853031142243,5.61571409067924,1.0,0.7307382288873195,0.00015396979143127387,0.9980329871177673,0.9183685995042324,2.673946222464997e-05,0.0,0.0
15,A2C,MA,2,32,91.16533660888672,88.59087866202168,61.673955485008186,100.0,5.141028882428326,5.634022645947337,1.0,0.7313132332861424,0.0001528914656214274,0.9980320334434509,0.9191660724878311,2.6237421741016773e-05,0.0,0.0
20,A2C,MA,2,32,91.15531158447266,88.53651551518782,61.34949881401111,100.0,5.116344627679913,5.5941224477552405,1.0,0.7309512951970101,0.00014638841186074024,0.998310387134552,0.9187621309161186,3.1139582310531006e-05,0.0,0.0
25,A2C,MA,2,32,91.12081909179688,88.49040220785832,61.48389020885763,100.0,5.146549370528936,5.545487671653993,1.0,0.7382209190130233,0.00013990212995821025,0.9983101487159729,0.9182794005572796,3.0252343927470268e-05,0.0009985012491255617,0.0
30,A2C,MA,2,32,91.10282897949219,88.46607442023694,61.501610095735025,100.0,5.127899281043877,5.667246535462934,1.0,0.7303571370542049,0.00015068025929072711,0.9980314373970032,0.9179930586814881,2.7673808879202884e-05,0.0,0.0
35,A2C,MA,2,32,91.09362030029297,88.48354632374289,62.1877344689949,100.0,5.130246566123572,5.620312100024357,1.0,0.7304917784929276,0.00015519963858269992,0.9980323314666748,0.9181711781919003,2.6081164642574906e-05,0.0,0.0
40,A2C,MA,2,32,91.09204864501953,88.46569917107868,61.50633974166844,100.0,5.111218909586388,5.647094297937916,1.0,0.7304553761482239,0.0001462186821732545,0.9983103275299072,0.9181704850196838,3.1534042218283875e-05,0.0,0.0
45,A2C,MA,2,32,91.18756866455078,88.54691882850766,61.84539293250297,100.0,5.153654109815071,5.658286111674544,1.0,0.7340068743824959,0.00012708421257740408,0.9980323314666748,0.9188174075484276,2.7040078312785735e-05,0.19998596403946947,0.0
50,A2C,MA,2,32,91.06783294677734,88.4295602914752,61.62745677821266,100.0,5.158104821913008,5.619973585918863,1.0,0.7395596291720867,0.00011200305299124624,0.9983099102973938,0.9178098967969418,3.1215267600033744e-05,0.020069925057461278,0.0
5,DDQN,MA,2,32,91.10806274414062,88.43453768120594,62.09616833358275,100.0,5.168542228389656,5.496909686626181,1.0,0.7508689263761044,0.0009790639522480977,0.9980331063270569,0.9177065285742283,2.6540556380603173e-05,0.13274372309097826,0.09629368224433511
10,DDQN,MA,2,32,91.13956451416016,88.52655967195768,62.508019477623634,100.0,5.162119414197511,5.605523008554614,1.0,0.742656993240118,0.00028315854286669473,0.9980336427688599,0.9185157349109649,2.2677942908535244e-05,0.003486013115381339,0.06635712628443399
15,DDQN,MA,2,32,89.29920959472656,86.5300105050586,60.03978281731054,100.0,5.565890861072878,6.065283664719496,1.0,0.8866667203307151,0.000607765200081564,0.998310923576355,0.8992159236371517,5.2931225208470625e-05,0.6186701751572988,0.18768726581237122
20,DDQN,MA,2,32,91.11554718017578,88.46896350628016,61.771638373464626,100.0,5.224915920556158,5.66572741915456,1.0,0.746665374815464,0.0001769979640427958,0.9983095526695251,0.9181603786945343,3.052290456573553e-05,0.1874060471013868,0.0
25,DDQN,MA,2,32,90.21868896484375,87.3739377016547,63.64749784387423,100.0,5.487294759022362,5.810930391952565,1.0,0.8348817915022373,0.0007774624953492578,0.9980316162109375,0.9067712228894234,4.6070941776297895e-05,0.24496047828159895,0.0
30,DDQN,MA,2,32,90.50835418701172,87.64947110518762,68.85043439179336,100.0,5.3407524744312145,5.7184841975901035,1.0,0.7985726030170918,0.0011960698735063913,0.9983088374137878,0.9087838822305202,8.918737368730194e-05,0.2386158245215223,0.16699496328797117
35,DDQN,MA,2,32,88.14664459228516,84.88264381021693,69.09983791578424,100.0,5.3215700856213095,6.30106459312093,1.0,0.9022498352825642,2.2146776993245054e-05,0.9983094930648804,0.8802012672722339,0.00021360868057146497,0.2499894480545834,0.0
40,DDQN,MA,2,32,10.887096405029297,10.143336728185474,0.006367271804345471,2.6915359497070312,-1.2781398013055683,19.600286477565575,1.0,0.34112976568937303,0.0033129013555824992,0.9980331659317017,0.9234001497030259,7.174916844742272e-05,0.07513914287194073,0.0
