ALG,TIP,TAM,MRW,INT,EPS,PTR,TRW,PTE,DTI,DTF,MEP
A2C,MA_loop,32,12030.392375094158,154100,100,68.21450788635237,3976.0799690641365,36.291248047247805,2022-04-24 17:12:28.531518,2022-04-25 06:06:04.396682,100
A2C,MA_loop,64,10495.237086778443,155672,100,68.33397009754506,20.525591269235086,14.828806625424065,2022-04-25 06:06:04.397229,2022-04-25 15:05:36.347073,100
A2C,MA_loop,128,486.37156743621273,131100,100,61.20094705233516,-217.48497807284468,10.139533027339851,2022-04-25 15:05:36.347584,2022-04-25 22:36:49.498718,100
PPO,MA_loop,3,32,519.4958536923951,50100,100,10.667316902813806,384.55738153846954,9.806575533825582,2022-05-09 09:42:45.025443,2022-05-09 10:29:29.868138,100
PPO,MA_loop,3,64,10766.471873508104,200368,100,79.488322221174,14534.718500063973,86.69793863375142,2022-05-09 10:29:29.868398,2022-05-10 05:46:05.390755,100
PPO,MA_loop,3,128,11728.809877722873,191502,100,77.37550796149804,14538.670844507098,86.70088451351756,2022-05-10 05:46:05.391115,2022-05-11 01:35:42.342341,100
DDQN,MA,3,32,11951.877263140546,89939,50,86.61358883508869,10082.420912786001,67.81967667932308,2022-05-12 08:52:42.793318,2022-05-12 16:18:07.046699,50
DDQN,MA,3,64,12425.672502989626,95550,50,86.43245921288725,11980.437467204803,79.88159148117452,2022-05-12 16:18:07.047284,2022-05-13 00:44:45.756787,50
DDQN,MA,3,128,14272.47645116396,97050,50,86.50520619376826,12514.219045978147,79.62211419071734,2022-05-13 00:44:45.756958,2022-05-13 09:16:48.563854,50
A2C,MA_loop_3M,3,32,12659.763513945494,81050,50,70.83420899935417,1272.9328707932727,30.062218593339235,2022-05-13 12:09:25.409558,2022-05-13 17:53:24.981102,50
A2C,MA_loop_3M,3,64,497.83227176429807,26550,50,13.314231849443493,374.4195375518238,9.771313111155456,2022-05-13 17:53:24.981560,2022-05-13 18:37:09.995643,50
PPO,MA_loop,3,32,11978.637042057155,82651,50,68.27431080342546,13942.157155517316,83.61021945762597,2022-05-13 12:09:57.993744,2022-05-13 20:50:29.601079,50
PPO,MA_loop,3,64,10775.228667944908,75328,50,61.56400583660699,292.9357380887309,19.66739173817601,2022-05-13 20:50:29.601495,2022-05-14 01:34:36.817648,50
A2C,MA_loop_3M,3,128,14385.33545048678,82590,50,72.91169920912806,14532.803518102011,86.70745839788117,2022-05-13 18:37:09.996030,2022-05-14 03:12:35.653169,50
PPO,MA_loop,3,128,958.8447961555507,32296,50,27.03912820760806,3276.3761007092194,29.819705463631397,2022-05-14 01:34:36.818472,2022-05-14 03:58:56.728341,50
A2C,SA,3,32,4188.438359202902,46112,50,35.931827932507375,4579.720198802209,32.943431411370476,2022-05-16 09:22:30.479566,2022-05-16 12:39:22.733127,50
A2C,SA,3,64,1018.0309708584216,25050,50,32.18242366793055,728.1673033980081,25.507071941728196,2022-05-16 12:39:22.733517,2022-05-16 13:32:30.871336,50
A2C,SA,3,128,10203.18554176302,91938,50,73.48140941134355,771.6228619662132,35.46463569089086,2022-05-16 13:32:30.871694,2022-05-16 19:39:26.459018,50
PPO,SA,3,32,6597.692693283276,57808,50,45.942228860367536,11.721081238050365,11.238744761524645,2022-05-16 19:17:14.910617,2022-05-16 22:20:42.372612,50
PPO,SA,3,64,5271.635861824698,62441,50,51.94293737621158,4470.335742842373,44.30585048946533,2022-05-16 22:20:42.373008,2022-05-17 03:57:21.000090,50
PPO,SA,3,128,8869.724921040804,74550,50,63.641781515028036,11637.274133427789,73.66559473341879,2022-05-17 03:57:21.000760,2022-05-17 13:29:15.517361,50
A2C,MA_GPU_3M,3,32,4199.776832945876,6005,5,42.1687629533389,1166.025622936635,28.46999101975653,2022-05-17 13:47:14.482119,2022-05-17 14:07:14.627363,5
A2C,MA_GPU_3M,3,32,6531.15163351893,7505,5,52.32393109120904,1049.7092835497883,29.563522749950106,2022-05-17 16:28:13.786761,2022-05-17 16:57:12.588996,5
DDQN,SA,3,32,11493.633308164577,89550,50,36.27988526395342,12813.992178834085,82.02610950227623,2022-05-17 08:23:04.395009,2022-05-17 18:51:18.356105,50
DDQN,SA,3,64,11145.750900541787,83550,50,83.71412975604578,10501.651585155425,73.95575650120912,2022-05-17 18:51:18.356338,2022-05-18 03:51:09.983448,50
A2C,MA_GPU_3M,3,32,11372.57430980415,87174,50,74.4926837958725,2167.208877495462,30.162474794433674,2022-05-19 11:02:05.879227,2022-05-19 17:43:25.015919,50
A2C,MA_GPU_3M,3,32,13117.87457408231,79550,50,67.20061532483714,2204.888635162538,32.55439385230726,2022-05-20 09:17:04.067639,2022-05-20 14:35:25.903948,50
PPO,MA_GPU,3,32,11028.615741162921,73229,50,65.5575147877121,5730.045659153988,43.331321555822406,2022-05-20 10:07:04.814935,2022-05-20 16:11:45.993805,50
PPO,MA_GPU,3,64,11757.896037211045,89550,50,75.88367979531034,13834.175652250044,84.71420706787279,2022-05-20 16:11:45.994207,2022-05-21 01:53:11.586102,50
A2C,MA_GPU_2M,2,32,9203.560419311472,199293,100,85.72325986873987,10258.928694248365,90.30530708110538,2022-05-20 14:39:38.992330,2022-05-21 02:06:27.317411,100
A2C,MA_GPU_2M,2,64,247.99539679325483,117600,100,56.242294351108285,4265.80212108768,52.15111741612857,2022-05-21 02:06:27.317526,2022-05-21 07:49:20.642321,100
PPO,MA_GPU,3,128,10750.093030471158,91050,50,76.67509392409507,5075.809890621699,37.49239737641403,2022-05-21 01:53:11.603442,2022-05-21 08:50:17.230118,50
PPO,MA_GPU,2,32,6213.317656764682,80938,50,70.22016475256942,8413.578511406453,78.69121947257484,2022-05-21 14:23:37.433634,2022-05-21 19:19:43.166326,50
PPO,MA_GPU,2,64,5008.065343228469,56629,50,47.89499103981123,718.8047838327823,18.236113159364823,2022-05-21 19:19:43.166954,2022-05-21 22:01:09.051964,50
DDQN,MA_GPU,3,32,13343.610462147535,97072,50,86.05230855786576,11127.784941558475,70.93292812755618,2022-05-21 14:21:21.171279,2022-05-21 23:04:09.808038,50
A2C,MA_GPU_2M,2,32,9688.462269294365,192998,100,82.61842480719606,6670.414145493519,70.12477457768412,2022-05-21 14:23:56.396255,2022-05-22 02:05:55.226763,100
PPO,MA_GPU,2,128,9153.310800392379,89550,50,79.17735814250474,7261.201040892687,68.96856774174323,2022-05-21 22:01:09.052122,2022-05-22 03:28:41.780006,50
DDQN,MA_GPU,3,64,13089.527909215423,92550,50,23.402397544092242,13737.064198019187,83.76150588590384,2022-05-21 23:04:09.808235,2022-05-22 07:03:24.182631,50
A2C,MA_GPU_2M,2,64,10441.503785604036,194100,100,87.94132127661558,9912.418843283824,87.0670484942621,2022-05-22 02:05:55.227331,2022-05-22 13:59:29.195606,100
DDQN,MA_GPU,3,128,12536.6105089474,97050,50,85.03405139197987,13378.538049451545,85.36741667083105,2022-05-22 07:03:24.183029,2022-05-22 15:08:54.549920,50
A2C,MA_GPU_2M,2,128,-336.71270135247704,95153,100,32.757622905425926,2770.5148341307113,34.123765899020945,2022-05-22 13:59:29.195808,2022-05-22 17:54:20.866622,100
A2C,SA,2,32,274.8071856546135,56100,100,32.51395548029304,126.39898205535363,25.353622031530627,2022-05-22 18:37:43.909679,2022-05-22 20:00:18.642571,/media/leandro/EXTRA/DEV/DRL/Resultados/A2C/SA/2M/32/2022522_183743/A2C_SA_32_2022522_183743,100
PPO,MA_GPU,2,32,9720.297991564994,172082,100,76.10938679745482,8854.570138300625,79.91055084528394,2022-05-22 12:02:11.469276,2022-05-22 22:18:16.077618,/media/leandro/EXTRA/DEV/DRL/Resultados/PPO/MA_GPU/2M/32/2022522_12211/PPO_MA_GPU_32_2022522_12211,100
A2C,SA,2,64,10050.40135619466,177100,100,76.04714948577191,6448.567453983551,64.14579598836882,2022-05-22 20:00:18.642886,2022-05-23 06:36:27.778620,/media/leandro/EXTRA/DEV/DRL/Resultados/A2C/SA/2M/64/2022522_20018/A2C_SA_64_2022522_20018,100
DDQN,MA_GPU,2,32,10497.77441082628,194100,100,39.11532333467953,10608.487698772102,88.27763175167152,2022-05-22 18:37:09.063602,2022-05-23 07:21:08.727207,/media/leandro/EXTRA/DEV/DRL/Resultados/DDQN/MA_GPU/2M/32/2022522_18379/DDQN_MA_GPU_32_2022522_18379,100
PPO,MA_GPU,2,64,6888.74141981009,184708,100,78.30189680028295,719.0316764544411,30.979203187193765,2022-05-22 22:18:16.077836,2022-05-23 07:59:33.570926,/media/leandro/EXTRA/DEV/DRL/Resultados/PPO/MA_GPU/2M/64/2022522_221816/PPO_MA_GPU_64_2022522_221816,100
A2C,SA,2,128,8620.254466899427,200699,100,89.0542796094312,6209.335293485199,62.21208234567975,2022-05-23 06:36:27.779040,2022-05-23 18:56:24.827675,/media/leandro/EXTRA/DEV/DRL/Resultados/A2C/SA/2M/128/2022523_63627/A2C_SA_128_2022523_63627,100
PPO,MA_GPU,2,128,10030.355031982477,194600,100,84.97372608279139,10462.758303544453,91.12163622507622,2022-05-23 07:59:33.571135,2022-05-23 20:29:46.559599,/media/leandro/EXTRA/DEV/DRL/Resultados/PPO/MA_GPU/2M/128/2022523_75933/PPO_MA_GPU_128_2022523_75933,100
DDQN,MA_GPU,2,64,11486.182825723821,200100,100,90.47058412745278,11466.581021325173,90.1143121283294,2022-05-23 07:21:08.727412,2022-05-23 20:34:23.724087,/media/leandro/EXTRA/DEV/DRL/Resultados/DDQN/MA_GPU/2M/64/2022523_7218/DDQN_MA_GPU_64_2022523_7218,100
PPO,SA,2,32,9955.299501283116,194011,100,84.38579359677027,9939.789256242775,88.00846860733282,2022-05-23 20:08:24.693257,2022-05-24 08:05:37.043037,/media/leandro/EXTRA/DEV/DRL/Resultados/PPO/SA/2M/32/2022523_20824/PPO_SA_32_2022523_20824,100
DDQN,SA,2,32,4812.313227679922,175505,100,89.83562240720873,7473.85274001574,75.54150865062587,2022-05-23 22:16:59.233128,2022-05-24 08:58:04.351378,/media/leandro/EXTRA/DEV/DRL/Resultados/DDQN/SA/2M/32/2022523_221659/DDQN_SA_32_2022523_221659,100
DDQN,MA_GPU,2,128,11474.802755015153,195600,100,90.56692194003105,11458.195872631984,90.42724626455448,2022-05-23 20:34:23.724287,2022-05-24 09:35:04.658150,/media/leandro/EXTRA/DEV/DRL/Resultados/DDQN/MA_GPU/2M/128/2022523_203423/DDQN_MA_GPU_128_2022523_203423,100
PPO,SA,2,64,9116.76413089982,195600,100,84.64755483341676,2304.1613028406277,38.19225157117985,2022-05-24 08:05:37.043503,2022-05-24 18:18:46.880912,/media/leandro/EXTRA/DEV/DRL/Resultados/PPO/SA/2M/64/2022524_8537/PPO_SA_64_2022524_8537,100
DDQN,SA,2,64,10487.261894295574,185124,100,88.81661701886249,6954.219709606814,69.65945771957732,2022-05-24 08:58:04.351603,2022-05-24 19:23:05.116972,/media/leandro/EXTRA/DEV/DRL/Resultados/DDQN/SA/2M/64/2022524_8584/DDQN_SA_64_2022524_8584,100
PPO,SA,2,128,8902.911848456977,189393,100,80.71554516974317,4588.096356974287,56.2641906410664,2022-05-24 18:18:46.881190,2022-05-25 04:20:37.145901,/media/leandro/EXTRA/DEV/DRL/Resultados/PPO/SA/2M/128/2022524_181846/PPO_SA_128_2022524_181846,100
DDQN,SA,2,128,10147.7965980192,185458,100,89.78971617102387,6287.626521136281,59.52523556254014,2022-05-24 19:23:05.117148,2022-05-25 05:55:10.853490,/media/leandro/EXTRA/DEV/DRL/Resultados/DDQN/SA/2M/128/2022524_19235/DDQN_SA_128_2022524_19235,100
PPO,MA_1p5BP,2,32,7367.396598790094,65550,50,59.41118599921709,3147.9901779090114,45.755226837372746,2022-05-27 10:28:44.833876,2022-05-27 13:38:16.089388,/media/leandro/EXTRA/DEV/DRL/Resultados/PPO/MA_1p5BP/2M/32/2022527_102844/PPO_MA_1p5BP_32_2022527_102844,50
A2C,MA_1p5BP,2,32,8284.585451579545,84.16798064771223,10300.999603866734,91.1078565879675,97050,2022-05-27 09:13:03,2022-05-27 15:02:59,/media/leandro/EXTRA/DEV/DRL/Resultados/A2C/MA_1p5BP/2M/32/2022527_9133/A2C_MA_1p5BP_32_2022527_9133,50,50
DDQN,MA_1p5BP,2,32,10820.059615950668,98550,50,90.30122457603275,9638.36002212759,82.25986000929382,2022-05-27 13:49:26.561570,2022-05-27 19:40:32.714516,/media/leandro/EXTRA/DEV/DRL/Resultados/DDQN/MA_1p5BP/2M/32/2022527_134926/DDQN_MA_1p5BP_32_2022527_134926,50
A2C,MA_1p5BP_newSt,2,32,6183.906241087796,81.25939959056163,9215.228098671016,87.92841210061738,106083,2022-05-30 18:32:22,2022-05-30 23:41:52,/media/leandro/EXTRA/DEV/DRL/Resultados/A2C/MA_1p5BP_newSt/2M/32/2022530_183222/A2C_MA_1p5BP_newSt_32_2022530_183222,50,50
PPO,MA_1p5BP_newS,2,32,955.0517689340568,45992,50,39.81113278080026,254.6453357436829,22.85152837910811,2022-05-31 00:09:46.023208,2022-05-31 01:46:18.979186,/media/leandro/EXTRA/DEV/DRL/Resultados/PPO/MA_1p5BP_newS/2M/32/2022531_0946/PPO_MA_1p5BP_newS_32_2022531_0946,50
DDQN,MA_1p5BP_newS,2,32,10039.553752788273,83562,50,89.82318192480207,6756.4965940283,67.47716336712273,2022-05-31 00:10:17.681816,2022-05-31 04:46:06.950342,/media/leandro/EXTRA/DEV/DRL/Resultados/DDQN/MA_1p5BP_newS/2M/32/2022531_01017/DDQN_MA_1p5BP_newS_32_2022531_01017,50
PPO,MA_1p5BP_newS,2,32,3775.0594169490637,55.6684977459018,4281.297299946952,59.63525866750139,2022-05-31 09:56:55.352858,72412,2022-05-31 13:40:38.315178,/media/leandro/EXTRA/DEV/DRL/Resultados/PPO/MA_1p5BP_newS/2M/32/2022531_95655/PPO_MA_1p5BP_newS_32_2022531_95655,50,50
